time,target,true_pos,sensor,error
0.0,0.0,0.0,0.011602002657039479,0.011602002657039479
0.05,0.0,0.0,0.00912416506203157,0.00912416506203157
0.1,0.0,0.0,0.00840093113299375,0.00840093113299375
0.15000000000000002,0.0,0.0,0.009909776368963546,0.009909776368963546
0.2,0.0,0.0,0.010669151027190002,0.010669151027190002
0.25,0.0,0.0,0.009003411397209695,0.009003411397209695
0.3,0.0,0.0,0.008272539465675981,0.008272539465675981
0.35,0.0,0.0,0.008751459492032033,0.008751459492032033
0.39999999999999997,0.0,0.0,0.011712928288800916,0.011712928288800916
0.44999999999999996,0.0,0.0,0.008198729462606545,0.008198729462606545
0.49999999999999994,0.0,0.0,0.010277273880976446,0.010277273880976446
0.5499999999999999,0.0,0.0,0.009147539598892694,0.009147539598892694
0.6,0.0,0.0,0.008784560825212758,0.008784560825212758
0.65,0.0,0.0,0.010808973313753897,0.010808973313753897
0.7000000000000001,0.0,0.0,0.007242400867872124,0.007242400867872124
0.7500000000000001,0.0,0.0,0.008591514401945907,0.008591514401945907
0.8000000000000002,0.0,0.0,0.011924293118735666,0.011924293118735666
0.8500000000000002,0.0,0.0,0.012018331324718457,0.012018331324718457
0.9000000000000002,0.0,0.0,0.010717643892143986,0.010717643892143986
0.9500000000000003,0.0,0.0,0.009821980776284385,0.009821980776284385
1.0000000000000002,0.0,0.0,0.009175119549697715,0.009175119549697715
1.0500000000000003,0.0,0.0,0.0076926243405184905,0.0076926243405184905
1.1000000000000003,0.0,0.0,0.010665870028671351,0.010665870028671351
1.1500000000000004,0.0,0.0,0.009740595722029328,0.009740595722029328
1.2000000000000004,0.0,0.0,0.012049930917953377,0.012049930917953377
1.2500000000000004,0.0,0.0,0.013250736946865503,0.013250736946865503
1.3000000000000005,0.0,0.0,0.007437956019207743,0.007437956019207743
1.3500000000000005,0.0,0.0,0.006256169442588071,0.006256169442588071
1.4000000000000006,0.0,0.0,0.012102001904439953,0.012102001904439953
1.4500000000000006,0.0,0.0,0.011011486287593145,0.011011486287593145
1.5000000000000007,0.0,0.0,0.012881090235029844,0.012881090235029844
1.5500000000000007,0.0,0.0,0.012104401460706236,0.012104401460706236
1.6000000000000008,0.0,0.0,0.006287557488532823,0.006287557488532823
1.6500000000000008,0.0,0.0,0.008333004332543026,0.008333004332543026
1.7000000000000008,0.0,0.0,0.010349769364277452,0.010349769364277452
1.7500000000000009,0.0,0.0,0.009149723988126055,0.009149723988126055
1.800000000000001,0.0,0.0,0.012330656664894668,0.012330656664894668
1.850000000000001,0.0,0.0,0.008448955177874475,0.008448955177874475
1.900000000000001,0.0,0.0,0.010069440391060929,0.010069440391060929
1.950000000000001,0.0,0.0,0.010751937878931318,0.010751937878931318
2.000000000000001,10.0,2.0,2.007881785675765,-7.992118214324234
2.0500000000000007,10.0,3.6,3.6102021304623064,-6.389797869537693
2.1000000000000005,10.0,4.880000000000001,4.889697716934216,-5.110302283065784
2.1500000000000004,10.0,5.904000000000001,5.914536869348402,-4.085463130651598
2.2,10.0,6.7232,6.733956083800246,-3.266043916199754
2.25,10.0,7.37856,7.389110408526814,-2.610889591473186
2.3,10.0,7.9028480000000005,7.910662202749143,-2.089337797250857
2.3499999999999996,10.0,8.3222784,8.333070108004488,-1.6669298919955118
2.3999999999999995,10.0,8.65782272,8.668825477649637,-1.3311745223503628
2.4499999999999993,10.0,8.926258176000001,8.93550355051926,-1.0644964494807407
2.499999999999999,10.0,9.141006540800001,9.152111945345872,-0.8478880546541276
2.549999999999999,10.0,9.31280523264,9.321635692097194,-0.6783643079028057
2.5999999999999988,10.0,9.450244186112,9.459081194078442,-0.5409188059215584
2.6499999999999986,10.0,9.5601953488896,9.570769554996826,-0.4292304450031743
2.6999999999999984,10.0,9.64815627911168,9.655217509625114,-0.34478249037488595
2.7499999999999982,10.0,9.718525023289343,9.727661789885166,-0.2723382101148335
2.799999999999998,10.0,9.774820018631475,9.783646095847796,-0.21635390415220357
2.849999999999998,10.0,9.81985601490518,9.832026494377594,-0.1679735056224061
2.8999999999999977,10.0,9.855884811924145,9.86256255723415,-0.13743744276584913
2.9499999999999975,10.0,9.884707849539316,9.896319962604947,-0.10368003739505305
2.9999999999999973,10.0,9.907766279631453,9.91561882302651,-0.08438117697349057
